current_figure,current_figure_files,source_data_dir,code_dir,panel_output_dir,status,notes
Figure 1,Figure 1_20260602.ai; Figure 1_20260602.png,figure1_source_data,figure1_code,,copied_from_legacy_source_data,Legacy source-data package copied; verify final panel-level consistency against current AI.
Figure 2,Figure 2_20260602.ai; Figure 2_20260602.png,figure2_source_data,figure2_code,,copied_from_legacy_source_data,Legacy source-data package copied; verify final panel-level consistency against current AI.
Figure 3,Figure 3_20260602.ai; Figure 3_20260602.png,figure3_source_data,figure3_code,figure3_panels,updated_current_package,Uses current Figure3_final_realdata_AI_panels 2 package; old package preserved under _legacy_replaced_by_current.
Figure 4,Figure 4_20260602.ai; Figure 4_20260602.png,figure4_source_data; figure4_panel_raw,figure4_code,,copied_from_legacy_source_data,Legacy source-data package copied; verify final panel-level consistency against current AI.
Figure 5,Figure 5_20260602.ai; Figure 5_20260602.png,figure5_source_data,figure5_code,,copied_from_legacy_source_data,Legacy source-data package copied; verify final panel-level consistency against current AI.
Figure 6,Figure 6_20260602.ai; Figure 6_20260602.png,figure6_source_data,figure6_code,,copied_from_legacy_source_data,Legacy source-data package copied; verify final panel-level consistency against current AI.
Figure 7,Figure 7_20260602.ai; Figure 7_20260602.png,figure7_source_data,figure7_code,,copied_from_legacy_source_data,Legacy source-data package copied; verify final panel-level consistency against current AI.
Figure 8,Figure 8_20260602.ai; Figure 8_20260602.png,figure8_source_data,figure8_code,,renumbered_from_legacy_supfig9,Current Figure 8 external-validation figure corresponds to old Supplementary Figure 9 source-data package. Filenames/scripts may still contain SupFig9 labels.
Figure 9,Figure 9_20260602.png,figure9_source_data,figure9_code,,figure_image_available_raw_animal_data_missing,"New package created with image registry, panel availability, and raw quantification template; numeric animal validation data were not present in workspace."
Supplementary Figure 1,Supplementary Figure 1.ai; Supplementary Figure 1.png,supfig1_source_data,supfig1_code,,copied_from_legacy_source_data,Legacy source-data package copied; verify final panel-level consistency against current AI.
Supplementary Figure 2,Supplementary Figure 2.ai; Supplementary Figure 2.png,supfig2_source_data,supfig2_code,,copied_from_legacy_source_data,Legacy source-data package copied; verify final panel-level consistency against current AI.
Supplementary Figure 3,Supplementary Figure 3.ai; Supplementary Figure 3.png,supfig3_source_data,supfig3_code,supfig3_panels,updated_current_package,Uses current Supplementary_Figure3_core_support_for_revised_Fig3 package; old package preserved under _legacy_replaced_by_current.
Supplementary Figure 4,Supplementary Figure 4.ai; Supplementary Figure 4.png,supfig4_source_data,supfig4_code,supfig4_panels,updated_current_package,Uses current SupFig4_redrawn_ST_pathway_bubbles package; old package preserved under _legacy_replaced_by_current.
Supplementary Figure 5,Supplementary Figure 5.ai; Supplementary Figure 5.png,supfig5_source_data,supfig5_code,supfig5_panels,updated_current_package,Uses current SupFig5_highlevel_GO_program_matrices package; old package preserved under _legacy_replaced_by_current.
Supplementary Figure 6,Supplementary Figure 6.ai; Supplementary Figure 6.png,supfig6_source_data,supfig6_code,,copied_from_legacy_source_data,Legacy source-data package copied; verify final panel-level consistency against current AI.
Supplementary Figure 7,Supplementary Figure 7.ai; Supplementary Figure 7.png,supfig7_source_data; supfig7_source_data/legacy_figure8_support,supfig7_code; supfig7_code/legacy_figure8_support,,combined_legacy_support,Keeps legacy SupFig7 support plus legacy Figure8 support because current SupFig7 appears to use OA/Ctrl support material from both packages.
