figure,title,panel_count,source_dirs,code_dirs,mapping_status,mapping_notes,figure_files_in_package,figure_level_source_count,figure_level_code_count
Figure 1,A harmonized single-cell atlas resolves the cellular architecture of human testes across azoospermia etiologies.,7,current_source_data_20260602/figure1_source_data,current_source_data_20260602/figure1_code,copied_from_legacy_source_data,Legacy source-data package copied; verify final panel-level consistency against current AI.,latest_figure_panel_data_code_20260604/Figure_1/current_figure_file/Figure 1_20260602.ai; latest_figure_panel_data_code_20260604/Figure_1/current_figure_file/Figure 1_20260602.png,18,4
Figure 2,Germline developmental divergence from controls emerges at late primary spermatocytes and propagates into post-meiotic stress programs.,8,current_source_data_20260602/figure2_source_data,current_source_data_20260602/figure2_code,copied_from_legacy_source_data,Legacy source-data package copied; verify final panel-level consistency against current AI.,latest_figure_panel_data_code_20260604/Figure_2/current_figure_file/Figure 2_20260602.ai; latest_figure_panel_data_code_20260604/Figure_2/current_figure_file/Figure 2_20260602.png,14,1
Figure 3,Somatic niche prioritization identifies coordinated Leydig–Sertoli collapse linked to germline outcome.,7,current_source_data_20260602/figure3_source_data,current_source_data_20260602/figure3_code,updated_current_package,Uses current Figure3_final_realdata_AI_panels 2 package; old package preserved under _legacy_replaced_by_current.,latest_figure_panel_data_code_20260604/Figure_3/current_figure_file/Figure 3_20260602.ai; latest_figure_panel_data_code_20260604/Figure_3/current_figure_file/Figure 3_20260602.png,17,2
Figure 4,Sertoli-cell state remodeling couples immature/stress programs to reduced blood–testis barrier integrity.,9,current_source_data_20260602/figure4_source_data; current_source_data_20260602/figure4_panel_raw,current_source_data_20260602/figure4_code,copied_from_legacy_source_data,Legacy source-data package copied; verify final panel-level consistency against current AI.,latest_figure_panel_data_code_20260604/Figure_4/current_figure_file/Figure 4_20260602.ai; latest_figure_panel_data_code_20260604/Figure_4/current_figure_file/Figure 4_20260602.png,32,3
Figure 5,Leydig-cell maturation defects link interstitial niche collapse to impaired steroidogenic endocrine function.,9,current_source_data_20260602/figure5_source_data,current_source_data_20260602/figure5_code,copied_from_legacy_source_data,Legacy source-data package copied; verify final panel-level consistency against current AI.,latest_figure_panel_data_code_20260604/Figure_5/current_figure_file/Figure 5_20260602.ai; latest_figure_panel_data_code_20260604/Figure_5/current_figure_file/Figure 5_20260602.png,27,3
Figure 6,Disrupted Sertoli–Leydig Hedgehog signaling reveals a communication mismatch within the collapsed niche.,9,current_source_data_20260602/figure6_source_data,current_source_data_20260602/figure6_code,copied_from_legacy_source_data,Legacy source-data package copied; verify final panel-level consistency against current AI.,latest_figure_panel_data_code_20260604/Figure_6/current_figure_file/Figure 6_20260602.ai; latest_figure_panel_data_code_20260604/Figure_6/current_figure_file/Figure 6_20260602.png,24,4
Figure 7,Sertoli glycolytic output becomes uncoupled from germ-cell oxidative metabolism at the late-meiotic bottleneck.,7,current_source_data_20260602/figure7_source_data,current_source_data_20260602/figure7_code,copied_from_legacy_source_data,Legacy source-data package copied; verify final panel-level consistency against current AI.,latest_figure_panel_data_code_20260604/Figure_7/current_figure_file/Figure 7_20260602.ai; latest_figure_panel_data_code_20260604/Figure_7/current_figure_file/Figure 7_20260602.png,28,3
Figure 8,"Independent cohorts validate late-meiotic divergence, somatic niche remodeling, and metabolic uncoupling.",11,current_source_data_20260602/figure8_source_data,current_source_data_20260602/figure8_code,renumbered_from_legacy_supfig9,Current Figure 8 external-validation figure corresponds to old Supplementary Figure 9 source-data package. Filenames/scripts may still contain SupFig9 labels.,latest_figure_panel_data_code_20260604/Figure_8/current_figure_file/Figure 8_20260602.ai; latest_figure_panel_data_code_20260604/Figure_8/current_figure_file/Figure 8_20260602.png,45,5
Figure 9,Leydig-cell ablation induces persistent local niche dysfunction despite systemic testosterone rescue.,6,current_source_data_20260602/figure9_source_data,current_source_data_20260602/figure9_code,figure_image_available_raw_animal_data_missing,"New package created with image registry, panel availability, and raw quantification template; numeric animal validation data were not present in workspace.",latest_figure_panel_data_code_20260604/Figure_9/current_figure_file/Figure 9_20260602.png,5,1
Supplementary Figure 1,Marker-based annotation and functional enrichment support major germline and somatic lineage definitions in the integrated human testis atlas.,2,current_source_data_20260602/supfig1_source_data,current_source_data_20260602/supfig1_code,copied_from_legacy_source_data,Legacy source-data package copied; verify final panel-level consistency against current AI.,latest_figure_panel_data_code_20260604/Supplementary_Figure_1/current_figure_file/Supplementary Figure 1.ai; latest_figure_panel_data_code_20260604/Supplementary_Figure_1/current_figure_file/Supplementary Figure 1.png,10,3
