supp_table,title,file,status,recommended_results_use
1,Discovery atlas composition,Supplementary_Table_1_Discovery_Atlas_Composition.xlsx,carried_forward_from_original_results_tables,"Figure 1 atlas size, sample/group composition, cell-type composition."
2,Germline divergence statistics,Supplementary_Table_2_Germline_Divergence_Statistics.xlsx,carried_forward_from_original_results_tables,"Figure 2 stage composition, entropy, paired divergence, OXPHOS/apoptosis GSEA."
3,Somatic remodeling statistics,Supplementary_Table_3_Somatic_Remodeling_Statistics.xlsx,carried_forward_from_original_results_tables,"Figure 3 somatic priority, pathway and niche-score statistics."
4,Sertoli trajectory and BTB metrics,Supplementary_Table_4_Sertoli_Trajectory_BTB_Metrics.xlsx,carried_forward_from_original_results_tables,"Figure 4 Sertoli state ratios, marker/regulon activity, BTB integrity."
5,Leydig trajectory and endocrine metrics,Supplementary_Table_5_Leydig_Trajectory_Endocrine_Metrics.xlsx,carried_forward_from_original_results_tables,"Figure 5 Leydig states, steroidogenic GO terms, hormone cohort."
6,Hedgehog communication and GO metrics,Supplementary_Table_6_Hedgehog_Communication_GO_Metrics.xlsx,carried_forward_from_original_results_tables,"Figure 6 DHH/GAS1 communication, LC_a DEGs, GO enrichment."
7,Metabolic uncoupling metrics,Supplementary_Table_7_Metabolic_Uncoupling_Metrics.xlsx,carried_forward_from_original_results_tables,"Figure 7 Sertoli lactate export, germ-cell OXPHOS, transporter summaries."
8,OA-vs-control remodeling metrics,Supplementary_Table_8_OA_vs_Control_Remodeling_Metrics.xlsx,carried_forward_from_original_results_tables,Supplementary Figure 7 and OA-specific results.
9,Donor niche-collapse axis metrics,Supplementary_Table_9_Donor_Niche_Collapse_Axis_Metrics.xlsx,carried_forward_from_original_results_tables,Figure 3 donor PC1/niche-collapse correlations and score matrix.
10,External validation metrics,Supplementary_Table_10_External_Validation_Metrics.xlsx,carried_forward_from_original_results_tables,Figure 8 GSE235321/GSE149512 validation and metabolic uncoupling.
11,EDS animal validation raw-data template and availability,Supplementary_Table_11_EDS_Animal_Validation_Data_Template.xlsx; Supplementary_Table_11_EDS_Animal_Validation_Template.csv; Supplementary_Table_11_EDS_Animal_Validation_Availability.csv,template_only_raw_animal_quantification_not_found,"Figure 9 animal validation; fill with hormone assay, ROI fluorescence, cell-count, CLDN11 continuity and animal metadata before final submission."
