figure,panel,figure_title,panel_legend,availability_note,panel_source_data_files,panel_code_files,figure_level_source_data_dir,figure_level_code_dir,original_source_dirs,original_code_dirs
Figure 1,a,A harmonized single-cell atlas resolves the cellular architecture of human testes across azoospermia etiologies.,"Study design and cohort overview. Adult human testicular samples were collected from fertile controls and patients with clinically defined azoospermia subtypes, including obstructive azoospermia (OA), AZFc microdeletion (AZFc_Del), Klinefelter syndrome (KS), idiopathic non-obstructive azoospermia with spermatogenic arrest (iNOA_B), and idiopathic Sertoli-cell-only syndrome (iNOA_S).",No direct panel-prefixed source table found; included README/mapping files and figure-level source-data directory.,latest_figure_panel_data_code_20260604/Figure_1/panels/panel_A/source_data/figure1_source_data__README.txt,latest_figure_panel_data_code_20260604/Figure_1/panels/panel_A/code/figure1_code__build_sourcedata_fig1_xlsx.py; latest_figure_panel_data_code_20260604/Figure_1/panels/panel_A/code/figure1_code__fig1_from_raw_seurat.R; latest_figure_panel_data_code_20260604/Figure_1/panels/panel_A/code/figure1_code__fig1_plot.R; latest_figure_panel_data_code_20260604/Figure_1/panels/panel_A/code/figure1_code__fig1_source_data.py,latest_figure_panel_data_code_20260604/Figure_1/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_1/figure_level_code,current_source_data_20260602/figure1_source_data,current_source_data_20260602/figure1_code
Figure 1,b,A harmonized single-cell atlas resolves the cellular architecture of human testes across azoospermia etiologies.,"UMAP embedding of the integrated single-cell transcriptomic atlas colored by clinical diagnosis, showing shared embedding of control and azoospermia samples after cross-donor harmonization.",,latest_figure_panel_data_code_20260604/Figure_1/panels/panel_B/source_data/figure1_source_data__Fig1B_UMAP_by_group.csv,latest_figure_panel_data_code_20260604/Figure_1/panels/panel_B/code/figure1_code__build_sourcedata_fig1_xlsx.py; latest_figure_panel_data_code_20260604/Figure_1/panels/panel_B/code/figure1_code__fig1_from_raw_seurat.R; latest_figure_panel_data_code_20260604/Figure_1/panels/panel_B/code/figure1_code__fig1_plot.R; latest_figure_panel_data_code_20260604/Figure_1/panels/panel_B/code/figure1_code__fig1_source_data.py,latest_figure_panel_data_code_20260604/Figure_1/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_1/figure_level_code,current_source_data_20260602/figure1_source_data,current_source_data_20260602/figure1_code
Figure 1,c,A harmonized single-cell atlas resolves the cellular architecture of human testes across azoospermia etiologies.,"UMAP embedding colored by annotated cell type, resolving the major germline and somatic compartments of the adult human testis. Germline populations include spermatogonial stem/progenitor cells, spermatogonia, primary spermatocytes, round spermatids, elongated spermatids, and sperm. Somatic populations include Sertoli cells, Leydig cells, endothelial cells, peritubular myoid cells, myeloid cells, and lymphoid/immune populations.",,latest_figure_panel_data_code_20260604/Figure_1/panels/panel_C/source_data/figure1_source_data__Fig1C_UMAP_by_celltype.csv,latest_figure_panel_data_code_20260604/Figure_1/panels/panel_C/code/figure1_code__build_sourcedata_fig1_xlsx.py; latest_figure_panel_data_code_20260604/Figure_1/panels/panel_C/code/figure1_code__fig1_from_raw_seurat.R; latest_figure_panel_data_code_20260604/Figure_1/panels/panel_C/code/figure1_code__fig1_plot.R; latest_figure_panel_data_code_20260604/Figure_1/panels/panel_C/code/figure1_code__fig1_source_data.py,latest_figure_panel_data_code_20260604/Figure_1/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_1/figure_level_code,current_source_data_20260602/figure1_source_data,current_source_data_20260602/figure1_code
Figure 1,d,A harmonized single-cell atlas resolves the cellular architecture of human testes across azoospermia etiologies.,"Feature plots showing normalized expression of canonical marker genes used for cell-type annotation. Representative markers include Sertoli-cell genes, endothelial-cell genes, Leydig-cell genes, immune-lineage genes, myoid-cell genes, and stage-specific germline markers spanning spermatogonial, meiotic, and post-meiotic states.",,latest_figure_panel_data_code_20260604/Figure_1/panels/panel_D/source_data/figure1_source_data__Fig1D_marker_feature_long.csv,latest_figure_panel_data_code_20260604/Figure_1/panels/panel_D/code/figure1_code__build_sourcedata_fig1_xlsx.py; latest_figure_panel_data_code_20260604/Figure_1/panels/panel_D/code/figure1_code__fig1_from_raw_seurat.R; latest_figure_panel_data_code_20260604/Figure_1/panels/panel_D/code/figure1_code__fig1_plot.R; latest_figure_panel_data_code_20260604/Figure_1/panels/panel_D/code/figure1_code__fig1_source_data.py,latest_figure_panel_data_code_20260604/Figure_1/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_1/figure_level_code,current_source_data_20260602/figure1_source_data,current_source_data_20260602/figure1_code
Figure 1,e,A harmonized single-cell atlas resolves the cellular architecture of human testes across azoospermia etiologies.,"Cell-type composition across clinical diagnoses, shown as stacked proportions of annotated populations. Controls and OA retain broad germline representation, whereas non-obstructive etiologies show etiology-dependent germline depletion or developmental arrest with relative enrichment of somatic compartments.",,latest_figure_panel_data_code_20260604/Figure_1/panels/panel_E/source_data/figure1_source_data__Fig1E_group_composition_count_long.csv; latest_figure_panel_data_code_20260604/Figure_1/panels/panel_E/source_data/figure1_source_data__Fig1E_group_composition_count_wide.csv; latest_figure_panel_data_code_20260604/Figure_1/panels/panel_E/source_data/figure1_source_data__Fig1E_group_composition_percent_long.csv; latest_figure_panel_data_code_20260604/Figure_1/panels/panel_E/source_data/figure1_source_data__Fig1E_group_composition_percent_wide.csv,latest_figure_panel_data_code_20260604/Figure_1/panels/panel_E/code/figure1_code__build_sourcedata_fig1_xlsx.py; latest_figure_panel_data_code_20260604/Figure_1/panels/panel_E/code/figure1_code__fig1_from_raw_seurat.R; latest_figure_panel_data_code_20260604/Figure_1/panels/panel_E/code/figure1_code__fig1_plot.R; latest_figure_panel_data_code_20260604/Figure_1/panels/panel_E/code/figure1_code__fig1_source_data.py,latest_figure_panel_data_code_20260604/Figure_1/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_1/figure_level_code,current_source_data_20260602/figure1_source_data,current_source_data_20260602/figure1_code
Figure 1,f,A harmonized single-cell atlas resolves the cellular architecture of human testes across azoospermia etiologies.,"Donor-level summary of retained cell numbers and compartmental composition after quality control, stratified by clinical group and germline versus somatic identity.",,latest_figure_panel_data_code_20260604/Figure_1/panels/panel_F/source_data/figure1_source_data__Fig1F_countxlsx_mapping.csv; latest_figure_panel_data_code_20260604/Figure_1/panels/panel_F/source_data/figure1_source_data__Fig1F_sample_somatic_germ_counts.csv,latest_figure_panel_data_code_20260604/Figure_1/panels/panel_F/code/figure1_code__build_sourcedata_fig1_xlsx.py; latest_figure_panel_data_code_20260604/Figure_1/panels/panel_F/code/figure1_code__fig1_from_raw_seurat.R; latest_figure_panel_data_code_20260604/Figure_1/panels/panel_F/code/figure1_code__fig1_plot.R; latest_figure_panel_data_code_20260604/Figure_1/panels/panel_F/code/figure1_code__fig1_source_data.py,latest_figure_panel_data_code_20260604/Figure_1/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_1/figure_level_code,current_source_data_20260602/figure1_source_data,current_source_data_20260602/figure1_code
Figure 1,g,A harmonized single-cell atlas resolves the cellular architecture of human testes across azoospermia etiologies.,"Violin plots summarizing normalized expression of representative lineage and stage markers across annotated cell populations. Marker distributions support robust assignment of Sertoli, Leydig, endothelial, myoid, immune, spermatogonial, meiotic, and post-meiotic compartments. Color scales and group labels are as indicated in the panels.",,latest_figure_panel_data_code_20260604/Figure_1/panels/panel_G/source_data/figure1_source_data__Fig1G_dotplot_available_genes.csv; latest_figure_panel_data_code_20260604/Figure_1/panels/panel_G/source_data/figure1_source_data__Fig1G_dotplot_full_genes.csv,latest_figure_panel_data_code_20260604/Figure_1/panels/panel_G/code/figure1_code__build_sourcedata_fig1_xlsx.py; latest_figure_panel_data_code_20260604/Figure_1/panels/panel_G/code/figure1_code__fig1_from_raw_seurat.R; latest_figure_panel_data_code_20260604/Figure_1/panels/panel_G/code/figure1_code__fig1_plot.R; latest_figure_panel_data_code_20260604/Figure_1/panels/panel_G/code/figure1_code__fig1_source_data.py,latest_figure_panel_data_code_20260604/Figure_1/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_1/figure_level_code,current_source_data_20260602/figure1_source_data,current_source_data_20260602/figure1_code
Figure 2,a,Germline developmental divergence from controls emerges at late primary spermatocytes and propagates into post-meiotic stress programs.,"UMAP embedding of re-clustered germline cells, resolving a continuous spermatogenic trajectory from spermatogonial stem/progenitor cells and differentiating spermatogonia through early and late primary spermatocytes to round spermatids, elongated spermatids, and sperm.",,latest_figure_panel_data_code_20260604/Figure_2/panels/panel_A/source_data/figure2_source_data__Fig2A_UMAP_by_stage.csv; latest_figure_panel_data_code_20260604/Figure_2/panels/panel_A/source_data/figure2_source_data__Fig2A_group_stage_composition_count_from_samples.csv; latest_figure_panel_data_code_20260604/Figure_2/panels/panel_A/source_data/figure2_source_data__Fig2A_group_stage_composition_percent_from_samples.csv,latest_figure_panel_data_code_20260604/Figure_2/panels/panel_A/code/figure2_code__fig2_plot.R,latest_figure_panel_data_code_20260604/Figure_2/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_2/figure_level_code,current_source_data_20260602/figure2_source_data,current_source_data_20260602/figure2_code
Figure 2,b,Germline developmental divergence from controls emerges at late primary spermatocytes and propagates into post-meiotic stress programs.,"Diagnosis-stratified distribution of germline states along the refined germline manifold. Early germline states remain partially shared across groups, whereas disease-associated depletion and redistribution become most prominent around late primary spermatocytes and downstream post-meiotic compartments.",,latest_figure_panel_data_code_20260604/Figure_2/panels/panel_B/source_data/figure2_source_data__Fig2B_UMAP_by_group.csv,latest_figure_panel_data_code_20260604/Figure_2/panels/panel_B/code/figure2_code__fig2_plot.R,latest_figure_panel_data_code_20260604/Figure_2/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_2/figure_level_code,current_source_data_20260602/figure2_source_data,current_source_data_20260602/figure2_code
Figure 2,c,Germline developmental divergence from controls emerges at late primary spermatocytes and propagates into post-meiotic stress programs.,"Dot plot of canonical germline developmental markers used to anchor stage annotation. Dot size represents the fraction of cells expressing each gene, and color indicates scaled average expression. Meiotic markers identify primary spermatocytes, whereas transition-protein and protamine-family genes define post-meiotic spermatid and sperm states.",,latest_figure_panel_data_code_20260604/Figure_2/panels/panel_C/source_data/figure2_source_data__Fig2C_dotplot_germline_markers.csv,latest_figure_panel_data_code_20260604/Figure_2/panels/panel_C/code/figure2_code__fig2_plot.R,latest_figure_panel_data_code_20260604/Figure_2/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_2/figure_level_code,current_source_data_20260602/figure2_source_data,current_source_data_20260602/figure2_code
